title,author,price,img
"IT CookBook, 원리로 이해하는 전력전자공학(2판)","원충연 , 김영렬 , 이택기 , 류홍제 , 故정용채",30000,https://www.hanbit.co.kr/data/books/B5156679966_m.jpg
"IT CookBook, TCP/IP 소켓 프로그래밍(2판)",김선우,32000,https://www.hanbit.co.kr/data/books/B9063949643_m.jpg
"IT CookBook, 쉽게 배우는 데이터 통신과 컴퓨터 네트워크(3판)",박기현,30000,https://www.hanbit.co.kr/data/books/B7400451696_m.jpg
"IT CookBook, 우분투 리눅스(3판)",이종원,34000,https://www.hanbit.co.kr/data/books/B6129400746_m.jpg
거시경제학(3판),주상영,36000,https://www.hanbit.co.kr/data/books/B7738896383_m.jpg
실용적 접근 방식의 경영학원론(10판),"Angelo Kinicki , Denise Breaux Soignet",39000,https://www.hanbit.co.kr/data/books/B1959656080_m.jpg
"IT CookBook, C로 시작하는 컴퓨터 프로그래밍(4판)","문호석, 손명호",23000,https://www.hanbit.co.kr/data/books/B4947312430_m.jpg
"IT CookBook, 인터넷 해킹과 보안(4판)",김경곤,29000,https://www.hanbit.co.kr/data/books/B1393628384_m.jpg
"IT CookBook, 파이썬 데이터 분석 for Beginner",우재남,28000,https://www.hanbit.co.kr/data/books/B9597680767_m.jpg
"Strategic Management, 17th Edition","Fred R. David , Forest R. David , Meredith E. David",79000,https://www.hanbit.co.kr/data/books/B2530464059_m.jpg
"IT CookBook, 엑셀 2019",김지연,20000,https://www.hanbit.co.kr/data/books/B7792763682_m.jpg
"IT CookBook, 소프트웨어 공학 이론과 실제",홍장의,33000,https://www.hanbit.co.kr/data/books/B5067324775_m.jpg
공학도라면 반드시 알아야 할 최소한의 수학(8판),John Bird,25000,https://www.hanbit.co.kr/data/books/B2247981475_m.jpg
"IT CookBook, UI/UX 디자인 이론과 실무 with 어도비 XD",이영주,30000,https://www.hanbit.co.kr/data/books/B4622884510_m.jpg
"STEM CookBook, 공학 기초수학(2판)",함남우,22000,https://www.hanbit.co.kr/data/books/B7170139829_m.jpg
"STEM CookBook, Beer의 정역학과 재료역학(3판)","Ferdinand P. Beer , E. Russell Johnston, Jr. , John T. DeWolf , David F. Mazurek",39000,https://www.hanbit.co.kr/data/books/B7121664936_m.jpg
STEIN 푸리에 해석학,"ELIAS M. STEIN , RAMI SHAKARCHI",38000,https://www.hanbit.co.kr/data/books/B6236324381_m.jpg
미분적분학 : 기초부터 응용까지,수학교재편찬위원회,35000,https://www.hanbit.co.kr/data/books/B2195975973_m.jpg
인공지능 시대의 문화기술,"두일철 , 오세종",22000,https://www.hanbit.co.kr/data/books/B4600453154_m.jpg
재무회계 with IFRS,"Jerry Weygandt , Paul Kimmel , Don Kieso",44000,https://www.hanbit.co.kr/data/books/B2995989202_m.jpg
상법강의,서성호,45000,https://www.hanbit.co.kr/data/books/B6734033518_m.jpg
소비자 행동론 제 13판,Michael R. Solomon,39000,https://www.hanbit.co.kr/data/books/B5744853316_m.jpg
파이썬으로 시작하는 컴퓨터 프로그래밍,조동영,25000,https://www.hanbit.co.kr/data/books/B4893899879_m.jpg
STEIN 복소해석학,"ELIAS M. STEIN , RAMI SHAKARCHI",36000,https://www.hanbit.co.kr/data/books/B8214795859_m.jpg
운영관리(13판),"Jay Heizer , Barry Render , Chuck Munson",42000,https://www.hanbit.co.kr/data/books/B6032223886_m.jpg
"STEM CookBook, 문제 해결력을 키우는 동역학","유봉조 , 박경수",32000,https://www.hanbit.co.kr/data/books/B6947867590_m.jpg
"IT CookBook, 디지털 신호 처리(2판)",이철희,33000,https://www.hanbit.co.kr/data/books/B4334124169_m.jpg
조직행동론(3판),Angelo Kinicki,38000,https://www.hanbit.co.kr/data/books/B3188891806_m.jpg
ISE Business Statistics: Communicating with Numbers [4th Edition],"Sanjiv Jaggia , Alison Kelly",50000,https://www.hanbit.co.kr/data/books/B8402518090_m.jpg
"IT CookBook, Android Studio를 활용한 안드로이드 프로그래밍(7판)","우재남 , 박길식",33000,https://www.hanbit.co.kr/data/books/B1212492850_m.jpg
"IT CookBook, 원리로 이해하는 무선공학",홍익표,32000,https://www.hanbit.co.kr/data/books/B2941761462_m.jpg
"IT CookBook, 실전에 강한 드론 제작과 정비 : 이론부터 실무까지",박장환,28000,https://www.hanbit.co.kr/data/books/B7725889032_m.jpg
"IT CookBook, 쉽게 배우는 자료구조 with 자바",문병로,29000,https://www.hanbit.co.kr/data/books/B7033044159_m.jpg
"IT CookBook, 쉽게 배우는 자료구조 with 파이썬",문병로,29000,https://www.hanbit.co.kr/data/books/B1962706778_m.jpg
"IT CookBook, 데이터베이스 개론(3판)",김연희,29000,https://www.hanbit.co.kr/data/books/B6505632990_m.jpg
"IT CookBook, 디지털 논리회로 실험(2판)","홍경호 , 임석구",25000,https://www.hanbit.co.kr/data/books/B7307907577_m.jpg
"IT CookBook, 디지털 논리회로(4판)","임석구 , 홍경호",32000,https://www.hanbit.co.kr/data/books/B2132529019_m.jpg
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale",36000,https://www.hanbit.co.kr/data/books/B2369847218_m.jpg
"Case, Fair, Oster의 경제학원론","Karl E. Case , Ray C. Fair , Sharon M. Oster",39000,https://www.hanbit.co.kr/data/books/B1077705950_m.jpg
"IT CookBook, C 언어 for Beginner 4판",우재남,26000,https://www.hanbit.co.kr/data/books/B1668287710_m.jpg
"IT CookBook, 가상현실의 이해",송은지,22000,https://www.hanbit.co.kr/data/books/B7119209370_m.jpg
"IT CookBook, 난생처음 C 언어 프로그래밍",김화수,25000,https://www.hanbit.co.kr/data/books/B2545053750_m.jpg
"IT CookBook, 데이터 과학을 위한 파이썬 머신러닝",최성철,30000,https://www.hanbit.co.kr/data/books/B8031863123_m.jpg
"IT CookBook, 엑셀과 파워포인트 2019",김지연,23000,https://www.hanbit.co.kr/data/books/B6256500150_m.jpg
"IT CookBook, 자바스크립트 프로그래밍 입문(2판)",윤인성,27000,https://www.hanbit.co.kr/data/books/B1606660111_m.jpg
"IT CookBook, 파이썬 for Beginner(3판)",우재남,25000,https://www.hanbit.co.kr/data/books/B5199139984_m.jpg
기본 재무관리(제5판),"Jonathan Berk , Peter DeMarzo , Jarrad Harford",42000,https://www.hanbit.co.kr/data/books/B3878279265_m.jpg
(개발자에게 필요 없는 수학은 없다) 프로그래머를 위한 수학,폴 올랜드,42000,https://www.hanbit.co.kr/data/books/B4698546432_m.jpg
"STEM CookBook, 컴퓨팅 사고력을 키우는 이산수학(3판)",박주미,29000,https://www.hanbit.co.kr/data/books/B1836224274_m.jpg
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍),26000,https://www.hanbit.co.kr/data/books/B1041700089_m.jpg
