locdate,dateName,isHoliday
20230101,신정,Y
20230121,설날,Y
20230122,설날,Y
20230123,설날,Y
20230124,대체공휴일,Y
20230301,삼일절,Y
20230505,어린이날,Y
20230527,부처님오신날,Y
20230529,대체공휴일,Y
20230606,현충일 망종,Y
20230815,광복절,Y
20230928,추석,Y
20230929,추석,Y
20230930,추석,Y
20231003,개천절,Y
20231009,한글날,Y
20231225,크리스마스,Y
20230228,2·28 민주운동 기념일,N
20230303,납세자의 날,N
20230308,3·8민주의거 기념일,N
20230315,3·15 의거 기념일 상공의 날,N
20230324,서해수호의 날,N
20230403,4·3희생자 추념일,N
20230405,식목일 청명,N
20230407,예비군의 날 보건의 날,N
20230411,도시농업의 날 대한민국임시정부 수립기념일,N
20230419,4·19 혁명 기념일,N
20230420,장애인의 날 곡우,N
20230421,과학의 날,N
20230422,정보통신의 날,N
20230425,법의 날,N
20230428,충무공 이순신 탄신일,N
20230501,근로자의 날,N
20230508,어버이 날,N
20230510,유권자의 날,N
20230511,동학농민혁명 기념일,N
20230514,식품안전의 날,N
20230515,스승의 날 성년의 날,N
20230518,5·18 민주화운동 기념일,N
20230519,발명의 날,N
20230521,부부의 날 소만,N
20230531,바다의 날,N
20230601,의병의 날,N
20230605,환경의 날,N
20230609,구강보건의 날,N
20230610,6·10 민주항쟁 기념일 6·10 만세운동 기념일,N
20230624,전자정부의 날,N
20230625,6·25 전쟁일,N
20230626,마약퇴치의 날,N
20230628,철도의 날,N
20230711,인구의 날 초복,N
20230712,정보보호의 날,N
20230808,섬의 날 입추,N
20230907,사회복지의 날 푸른 하늘의 날 곤충의 날,N
20230910,해양경찰의 날,N
20230916,청년의 날,N
20231001,국군의 날,N
20231002,노인의 날,N
20231005,세계한인의 날,N
20231008,재향군인의 날 한로,N
20231010,임산부의 날 정신건강의 날,N
20231015,체육의 날,N
20231016,부마민주항쟁 기념일,N
20231021,문화의 날 경찰의 날,N
20231024,국제연합일 상강,N
20231028,교정의 날,N
20231029,지방자치의 날,N
20231031,금융의 날,N
20231103,학생독립운동 기념일,N
20231109,소방의 날,N
20231111,농업인의 날,N
20231117,순국선열의 날,N
20231119,아동학대예방의 날,N
20231203,소비자의 날,N
20231205,무역의 날 자원봉사자의 날,N
20231227,원자력 안전 및 진흥의 날,N
20230106,소한,N
20230120,대한,N
20230204,입춘,N
20230219,우수,N
20230306,경칩,N
20230321,춘분,N
20230506,입하,N
20230621,하지,N
20230707,소서,N
20230723,대서,N
20230823,처서,N
20230908,백로,N
20230923,추분,N
20231108,입동,N
20231122,소설,N
20231207,대설,N
20231222,동지,N
20230205,정월대보름,N
20230406,한식,N
20230622,단오,N
20230721,중복,N
20230810,말복,N
20230822,칠석,N
