연도,월,행정구역구분명,행정구역명,총 인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,총 인구수 (남),0~9세 (남),10~19세 (남),20~29세 (남),30~39세 (남),40~49세 (남),50~59세 (남),60~69세 (남),70~79세 (남),80~89세 (남),90~99세 (남),100세 이상 (남),총 인구수 (여),0~9세 (여),10~19세 (여),20~29세 (여),30~39세 (여),40~49세 (여),50~59세 (여),60~69세 (여),70~79세 (여),80~89세 (여),90~99세 (여),100세 이상 (여)
2022,12,읍면동,경기도 고양시 덕양구 행신4동,20450,836,2034,2882,2182,3054,4146,3111,1302,787,115,1,10187,423,1053,1571,1189,1503,2123,1524,549,232,19,1,10263,413,981,1311,993,1551,2023,1587,753,555,96,0
2022,12,읍면동,경기도 고양시 덕양구 행주동,18152,600,1045,2598,2302,2331,3742,3156,1450,809,117,2,9552,313,546,1452,1306,1304,2034,1647,649,280,21,0,8600,287,499,1146,996,1027,1708,1509,801,529,96,2
2022,12,읍면동,경기도 고양시 덕양구 화전동,27967,3839,2049,2657,5447,5425,3652,2917,1284,601,91,5,13967,1996,1030,1347,2620,2891,1812,1401,628,218,21,3,14000,1843,1019,1310,2827,2534,1840,1516,656,383,70,2
2022,12,읍면동,경기도 고양시 덕양구 화정1동,36675,1608,3341,5638,4353,5044,7302,4967,2423,1764,227,8,17809,845,1708,2860,2242,2363,3526,2541,974,676,73,1,18866,763,1633,2778,2111,2681,3776,2426,1449,1088,154,7
2022,12,읍면동,경기도 고양시 덕양구 화정2동,32035,2158,3458,4228,4141,5480,6006,3521,1709,1177,155,2,15467,1090,1775,2135,2083,2499,2952,1796,684,398,55,0,16568,1068,1683,2093,2058,2981,3054,1725,1025,779,100,2
2022,12,읍면동,경기도 고양시 덕양구 효자동,20771,2941,1526,2226,4485,3664,2528,1933,953,448,65,2,10141,1458,735,1012,2130,1950,1249,995,446,154,12,0,10630,1483,791,1214,2355,1714,1279,938,507,294,53,2
2022,12,읍면동,경기도 고양시 덕양구 흥도동,29712,3057,3401,3055,4163,6439,4091,3222,1509,683,89,3,14593,1534,1711,1491,1950,3277,2081,1545,709,272,22,1,15119,1523,1690,1564,2213,3162,2010,1677,800,411,67,2
2022,12,구,경기도 고양시 일산동구 ,296590,18739,28371,41361,37910,47825,56710,38362,15846,9838,1587,41,144032,9551,14501,20791,18764,22697,27432,19407,6955,3515,406,13,152558,9188,13870,20570,19146,25128,29278,18955,8891,6323,1181,28
2022,12,읍면동,경기도 고양시 일산동구 고봉동,22684,1246,1412,2630,2850,3227,4506,3949,1664,988,203,9,11911,633,762,1542,1585,1737,2368,2102,804,346,29,3,10773,613,650,1088,1265,1490,2138,1847,860,642,174,6
2022,12,읍면동,경기도 고양시 일산동구 마두1동,23399,1187,3095,3422,2215,3651,4749,3018,1158,766,136,2,11238,596,1583,1727,1071,1578,2326,1539,511,274,33,0,12161,591,1512,1695,1144,2073,2423,1479,647,492,103,2
