시군구,공원면적
경기도 의정부시 민락동 855,33457.9
경기도 의정부시 민락동 878,75925.7
경기도 의정부시 낙양동 730,45730.7
경기도 의정부시 민락동 897,15773.0
경기도 의정부시 민락동 900,25509.4
경기도 의정부시 민락동 887,16957.3
경기도 의정부시 금오동 145-7,3886.0
경기도 의정부시 민락동 731-1,6487.5
경기도 의정부시 민락동 888,30333.3
경기도 의정부시 민락동 785,1525.6
경기도 의정부시 민락동 798,1572.3
경기도 의정부시 민락동 802,3668.0
경기도 의정부시 낙양동 713,1971.4
경기도 의정부시 민락동 832,1774.2
경기도 의정부시 민락동 691-2,2451.0
경기도 의정부시 민락동 692-5,4132.0
경기도 의정부시 민락동 695-2,2508.0
경기도 의정부시 민락동 698,1500.0
경기도 의정부시 민락동 706-1,1788.0
경기도 의정부시 녹양동 385-1,1509.0
경기도 의정부시 녹양동 380-1,1757.0
경기도 의정부시 용현동 547-6,3016.0
경기도 의정부시 민락동 735-2,2620.0
경기도 의정부시 민락동 756-5,2573.0
경기도 의정부시 민락동 757-3,3002.0
경기도 의정부시 신곡2동 801-6,800.0
경기도 의정부시 신곡2동 758-2,1501.0
경기도 의정부시 신곡2동 767-4,2598.0
경기도 의정부시 신곡2동 774-2,2012.0
경기도 의정부시 신곡2동 789,1493.0
경기도 의정부시 금오동 456,1504.0
경기도 의정부시 녹양동 410-2,1892.0
경기도 의정부시 장암동 387-2,1500.0
경기도 의정부시 의정부동 530,3035.0
경기도 의정부시 녹양동 337,1383.0
경기도 의정부시 금오동 464-4,1290.0
경기도 의정부시 호원동 251-26,1074.0
경기도 의정부시 호원동 242-7,382.0
경기도 의정부시 의정부1동 199-6,1650.0
경기도 의정부시 낙양동 670-8,6072.0
경기도 의정부시 용현동 산21-2 일원,1553.0
경기도 의정부시 용현동 391-24,1537.0
경기도 의정부시 용현동 24-10 일원,1500.0
경기도 의정부시 호원2동 420,4549.0
경기도 의정부시 호원1동 465,1530.0
경기도 의정부시 호원1동 467-10,3954.0
경기도 의정부시 의정부2동 482,1500.0
경기도 의정부시 의정부2동 514,1500.0
경기도 의정부시 의정부2동 509-6,1500.0
경기도 의정부시 의정부2동 569-4,1500.0
경기도 의정부시 의정부2동 559-4,1951.0
경기도 의정부시 의정부2동 546-2,1500.0
경기도 의정부시 의정부2동 538-6,1500.0
경기도 의정부시 의정부2동 579-3,1500.0
경기도 의정부시 의정부2동 584-7,1502.0
경기도 의정부시 의정부2동 596,1501.0
경기도 의정부시 의정부2동 606-3,1500.0
경기도 의정부시 신곡2동 682-2,1893.0
경기도 의정부시 신곡2동 687-2,1644.0
경기도 의정부시 신곡2동 684-1,2075.0
경기도 의정부시 신곡2동 669-2,3213.0
경기도 의정부시 신곡2동 685-3,2066.0
경기도 의정부시 신곡1동 727-2,1897.0
경기도 의정부시 신곡1동 702-4,2262.0
경기도 의정부시 신곡1동 725-1,2031.0
경기도 의정부시 금오동 469-1,9534.0
경기도 의정부시 금오동 476-3,11194.0
경기도 의정부시 신곡2동 812,23959.9
경기도 의정부시 신곡2동 797,88957.0
"경기도 의정부시 낙양동 692-1, 13",30798.1
경기도 의정부시 민락동 736-2,10000.9
경기도 의정부시 녹양동 399,27187.5
경기도 의정부시 녹양동 406-3,13437.9
경기도 의정부시 장암동 411-38,29765.0
경기도 의정부시 의정부동 253-35 일원,12731.0
경기도 의정부시 신곡동 615-78,1830.6
경기도 의정부시 의정부동 225-39,5217.0
경기도 의정부시 금오동 284-12 일원,2168.0
경기도 의정부시 금오동 254-1,1500.0
경기도 의정부시 가능동 611,1849.0
경기도 의정부시 가능동 635,2317.0
경기도 의정부시 가능동 679,2326.0
경기도 의정부시 가능동 709,1786.0
경기도 의정부시 의정부동 402,3115.0
경기도 의정부시 가능동 650-7,2316.0
경기도 의정부시 녹양동 348,1757.0
경기도 의정부시 가능1동 656,2324.0
경기도 의정부시 가능1동 362-170,1500.0
경기도 의정부시 호원2동 341-11,1509.0
경기도 의정부시 장암동 17-27,1500.0
경기도 의정부시 의정부2동 산4-5번지 일원,632143.0
경기도 의정부시 신곡2동 산25-1번지 일원,854666.0
경기도 의정부시 의정부동 14-12,14900.0
경기도 의정부시 의정부2동 553,12248.3
경기도 의정부시 신곡1동 724-1,10368.2
경기도 의정부시 민락동 696-1,20063.5
경기도 의정부시 용현동 523,9488.9
경기도 평택시 통복동 22-2,1567.0
경기도 평택시 용이동 593-3,3951.0
경기도 평택시 비전동 752-13,985.0
경기도 평택시 동삭동 412-14,1887.0
경기도 평택시 용이동 485-1,1805.0
경기도 평택시 용이동 447-1,1849.0
경기도 평택시 용이동 459-1,1914.0
경기도 평택시 용이동 453-4,2589.0
경기도 평택시 비전동 1047공,1688.0
경기도 평택시 세교동 555-1,1597.4
경기도 평택시 신대동 184-9,1500.0
경기도 평택시 비전동 803,5081.0
경기도 평택시 비전동 798-1,2436.0
경기도 평택시 세교동 230-59,1819.0
경기도 평택시 죽백동 778-1공,1562.3
경기도 평택시 비전동 826,5322.0
경기도 평택시 합정동 921-1,1632.8
경기도 평택시 합정동 930-1,1974.1
경기도 평택시 세교동 557-1,1604.3
경기도 평택시 팽성읍 추팔리 396-2,8329.0
경기도 평택시 합정동 749,1990.0
경기도 평택시 비전동 631-1,2067.0
경기도 평택시 용이동 673,2781.0
경기도 평택시 팽성읍 송화리 786-2,1723.0
경기도 평택시 세교동 562-6,1483.0
경기도 평택시 동삭동 678-3,2107.0
경기도 평택시 팽성읍 객사리 88-2,1694.0
경기도 평택시 비전동 885-1,2257.0
경기도 평택시 동삭동 산88-1,2681.0
경기도 평택시 동삭동 695-8,2322.0
경기도 평택시 비전동 610-1,2210.0
경기도 평택시 소사동 525,1480.0
경기도 평택시 소사동 23-4,2754.0
경기도 평택시 비전동 879-2,2638.6
경기도 평택시 팽성읍 송화리 778-1,1558.0
경기도 평택시 비전동 969공,4115.0
경기도 평택시 신대동 418-9,2129.0
경기도 평택시 합정동 908-4,2031.0
경기도 평택시 용이동 749-1번지,2359.0
경기도 평택시 팽성읍 안정리 43-4,4858.3
경기도 평택시 동삭동 575-1,2269.0
경기도 평택시 용이동 300-2번지,3613.0
경기도 평택시 동삭동 683-1,1529.0
경기도 평택시 팽성읍 안정리 44-17,1581.0
경기도 평택시 군문동 368,2001.4
경기도 평택시 팽성읍 안정리 98-9,1500.0
경기도 평택시 소사동 산156-2,2680.0
경기도 평택시 동삭동 342-4,4339.0
경기도 평택시 비전동 888-1,2411.0
경기도 평택시 죽백동 720-1공,1874.0
경기도 평택시 평택동 312,1547.0
경기도 평택시 동삭동 41,1864.0
경기도 평택시 비전동 1020공,1529.0
경기도 평택시 소사동 95-1,2309.0
경기도 평택시 비전동 852,1696.0
경기도 평택시 비전동 867,1713.0
경기도 평택시 죽백동 722-1공,1906.4
경기도 평택시 세교동 190-4,2076.0
경기도 평택시 비전동 1087공,2164.0
경기도 평택시 동삭동 657-1,1547.0
경기도 평택시 지제동 640-3답,2053.0
경기도 평택시 용이동 588-2,1934.9
경기도 평택시 소사동 107-9,1507.0
경기도 평택시 합정동 969,5195.0
경기도 평택시 군문동 201-1,9955.0
경기도 평택시 동삭동 12-1,12194.0
경기도 평택시 동삭동 186-1,1933.0
경기도 평택시 세교동 산3-8,1645.0
경기도 평택시 세교동 26,2614.0
경기도 평택시 세교동 288-1,8042.0
경기도 평택시 세교동 37-3,2000.0
경기도 평택시 평택동 38,1555.7
경기도 평택시 군문동 360-3,2050.0
경기도 평택시 동삭동 546,4109.0
경기도 평택시 세교동 559-2,1999.0
경기도 평택시 지제동 산7-7임,6172.0
경기도 평택시 비전동 927,1625.0
경기도 평택시 용이동 690,1815.4
경기도 평택시 죽백동 816-4공,1644.3
경기도 평택시 세교동 408-2전,1893.0
경기도 평택시 비전동 1075공,1524.0
경기도 평택시 비전동 1004-1공,1939.0
경기도 평택시 비전동 981공,1518.0
경기도 평택시 비전동 784,2012.0
경기도 평택시 동삭동 402-4,2568.0
경기도 평택시 동삭동 474,2140.0
경기도 안성시 미양면 양변리 473,16156.0
경기도 평택시 팽성읍 노와리 460-1,1505.0
경기도 평택시 비전동 953 954,1361.7
경기도 평택시 팽성읍 본정리 산9-2,4297.0
경기도 평택시 동삭동 산15-1,1164.0
경기도 평택시 동삭동 179-1,1000.0
경기도 평택시 세교동 산6-2,1287.0
경기도 평택시 팽성읍 본정리 4-4,2268.0
경기도 평택시 팽성읍 본정리 27-1임,908.0
경기도 평택시 팽성읍 본정리 31-3답,839.0
경기도 평택시 팽성읍 송화리 834,635.0
경기도 평택시 신대동 8-7,1582.0
경기도 평택시 소사동 122-1,709.0
경기도 평택시 포승읍 원정리 221-85,782.0
경기도 평택시 포승읍 원정리 281-1,1367.0
경기도 평택시 팽성읍 원정리 87-2,1084.0
경기도 평택시 팽성읍 추팔리 296-1,1541.0
경기도 평택시 통복동 242-2,1176.0
경기도 평택시 통복동 242-6,757.0
경기도 평택시 비전동 999공,39061.0
경기도 평택시 비전동 1016공,11228.0
경기도 평택시 죽백동 737-2공,11408.5
경기도 평택시 비전동 1032공,19823.0
경기도 평택시 비전동 1069공,19099.0
경기도 평택시 비전동 1065 1093 1099,24015.0
경기도 평택시 비전동 966 966-1~6,23421.0
경기도 평택시 팽성읍 본정리 47-16,999.0
경기도 평택시 비전동 788-3,0.0
경기도 평택시 팽성읍 석근리 8-9,423.0
경기도 평택시 팽성읍 석봉리 123-5,1109.0
경기도 평택시 팽성읍 신대리 225-2,999.0
경기도 평택시 팽성읍 신대리 211-53,1668.0
경기도 평택시 팽성읍 안정리 100-8,999.0
경기도 평택시 유천동 788,1680.0
경기도 평택시 비전동 600-25,425.7
경기도 평택시 팽성읍 평궁리 474-12,3986.0
경기도 평택시 팽성읍 함정리 155-11,6686.0
경기도 평택시 팽성읍 내리 산3-3,98886.0
경기도 평택시 소사동 산6,7151.0
경기도 평택시 용이동 752,8054.0
경기도 평택시 용이동 596-7공,6694.9
경기도 평택시 신대동 368-18,996.0
경기도 평택시 팽성읍 남산리 561-1,634.0
경기도 평택시 팽성읍 남산리 564,997.0
경기도 평택시 팽성읍 노와리 460-3,697.2
경기도 평택시 팽성읍 노와리 461-17,678.0
경기도 평택시 팽성읍 두정리 45-1,1203.0
경기도 평택시 비전동 839-10,931.0
경기도 평택시 팽성읍 추팔리 398-2,11053.0
경기도 평택시 통복동 170,11781.0
경기도 평택시 세교동 540,12300.0
경기도 평택시 소사동 81-1,15700.0
경기도 평택시 비전동 1035공,36864.0
경기도 평택시 용이동 494-1,12538.0
경기도 평택시 동삭동 396,277794.0
