공원명,면적,공원주소,위도,경도
용마폭포공원,5107964,서울특별시 중랑구 면목동 산1-4 ,37.5731968,127.0905888
사육신공원,47832,서울특별시 동작구 노량진로 191,37.5137049,126.948636
용왕산근린공원,213552,서울특별시 양천구 목동 199-51,37.5429593,126.8783125
사직근린공원,168099,서울특별시 종로구 사직로9길 5,37.5759864,126.9674018
우장산근린공원,359435,서울특별시 강서구 내발산동 산4-5,37.5541932,126.844932
삼일근린공원,36660,서울특별시 동작구 사당동 산24-17,37.4860183,126.9743686
삼청근린공원,380735,서울특별시 종로구 북촌로 134-1 (우) 03050,37.5895821,126.9842875
인왕산도시자연공원,1807420,서울특별시 종로구 옥인동 산 3-1 ,37.5849001,126.9578438
상도근린공원,359342,서울특별시 동작구 성대로6사길 27-6(상도공원) ,37.492299,126.9385469
일자산도시자연공원,632733,서울특별시 강동구 동남로 660(일자산공원),37.5431657,127.1574587
쌍문근린공원,328018,서울특별시 도봉구 쌍문동 산80,37.6531456,127.0271316
수락산도시자연공원,6691885,서울특별시 노원구 상계동 산3-1,37.699232,127.0813633
송파나루근린공원(석촌호수),285757,서울특별시 송파구 잠실로 148 (잠실동) ,37.5069328,127.0983002
선유도근린공원,110407,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,37.543418,126.90014
손기정체육공원,29682,서울특별시 중구 손기정로 101 ,37.5560189,126.9652702
성북근린공원,137759,서울특별시 성북구 돈암동 616-1055,37.5948509,127.0078625
봉제산공원,917190,서울특별시 강서구 화곡동 산41-6,37.5421979,126.8517836
서울창포원,51470,서울특별시 도봉구 마들로 916(서울창포원) ,37.689585,127.047938
북서울꿈의숲,662543,서울특별시 강북구 월계로 173,37.6233355,127.0407344
서서울호수공원,217946,서울특별시 양천구 남부순환로64길 20 (신월동),37.5278392,126.8304789
중랑캠핑숲,179666,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),37.6049896,127.1093075
솔밭근린공원,34955,서울특별시 강북구 우이동 80번지 일대,37.652331,127.0116241
금천체육공원(관악산),18083,서울특별시 금천구 독산동 산118-4(금천체육공원),37.468164,126.908681
금천폭포근린공원,4835,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),37.4468663,126.9040127
만수천공원(관악산),19650,서울특별시 금천구 독산동 산8 일대,37.4734274,126.9090028
발바닥공원,7000,서울특별시 도봉구 시루봉로6길 33,37.6597135,127.031982
월천근린공원,10712,서울특별시 도봉구 창동 28번지,37.6473889,127.0509895
용두근린공원,17182,서울특별시 동대문구 용두동 34-1번지 일대,37.5732791,127.0390042
상암근린공원,160349,서울특별시 마포구 상암동 1761,37.5760106,126.8859012
와우근린공원,87432,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),37.5517298,126.9289936
금호근린공원,13467,서울특별시 성동구 장터1길 18,37.5494726,127.0189457
달맞이근린공원,46871,서울특별시 성동구 옥수동 산1-1,37.543564,127.0212054
문정근린공원,49972,서울특별시 송파구 문정동 18-4,37.4862156,127.1275819
문화예술공원,74385,서울특별시 서초구 바우뫼로12길 40 (양재동),37.467654,127.030517
세종로공원,8868,서울특별시 종로구 세종대로 189 (우) 03172,37.5735,126.9758875
샘말공원(관악산),10634,서울특별시 관악구 대학동 산63-1일대 샘말공원,37.4642128,126.938511
초안산생태공원,22113,서울특별시 도봉구 창동 산24,37.6479483,127.0405382
서오능도시자연공원,1082847,서울특별시 은평구 구파발동 갈현동 진관내동,37.6374823,126.9134338
청계산도시자연공원,3692455,서울특별시 서초구 원지동 산 33,37.4224347,127.0424726
