행정구역,행정구역별(시군구),성별,합계,15세미만,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85세이상
서울특별시,마포구,여자,186236,17365,6486,13730,19145,16851,15514,14438,14756,14643,11951,11907,9132,7171,5971,4207,2969
서울특별시,양천구,계,424680,52451,23069,22444,28533,25218,28070,34522,38815,39681,33598,33097,25275,17050,11235,7030,4592
서울특별시,양천구,남자,206262,27192,11890,10260,14115,12659,13710,16260,18720,19583,16523,15757,12012,8236,5099,2839,1407
서울특별시,양천구,여자,218418,25259,11179,12184,14418,12559,14360,18262,20095,20098,17075,17340,13263,8814,6136,4191,3185
서울특별시,강서구,계,547421,56217,20472,27828,50844,49098,45410,43590,41606,41585,39273,43536,33446,23032,15277,9671,6536
서울특별시,강서구,남자,261052,28739,10247,11588,22822,24217,23200,21962,20738,20052,18426,20013,15297,10871,7060,3851,1969
서울특별시,강서구,여자,286369,27478,10225,16240,28022,24881,22210,21628,20868,21533,20847,23523,18149,12161,8217,5820,4567
서울특별시,구로구,계,380978,39130,13486,19359,30598,30093,29436,29596,29331,30904,29334,31212,25011,18359,12801,7852,4476
서울특별시,구로구,남자,186523,19979,6901,8607,14883,15149,15179,15226,14952,15209,14334,14783,11616,8791,5965,3408,1541
서울특별시,구로구,여자,194455,19151,6585,10752,15715,14944,14257,14370,14379,15695,15000,16429,13395,9568,6836,4444,2935
서울특별시,금천구,계,220904,17629,6889,12074,22795,19421,16017,14738,15664,18561,19186,19405,14177,10191,7276,4413,2468
서울특별시,금천구,남자,110587,9044,3439,5235,11484,10650,8857,7967,8000,9087,9577,9564,6759,4832,3347,1904,841
서울특별시,금천구,여자,110317,8585,3450,6839,11311,8771,7160,6771,7664,9474,9609,9841,7418,5359,3929,2509,1627
서울특별시,영등포구,계,356146,34867,10745,18118,35699,35598,31365,26924,25424,27489,25734,26239,20093,14847,11021,7330,4653
서울특별시,영등포구,남자,173767,17862,5587,7460,16481,17808,16268,13940,12964,13614,12931,12662,9538,6892,4955,3128,1677
서울특별시,영등포구,여자,182379,17005,5158,10658,19218,17790,15097,12984,12460,13875,12803,13577,10555,7955,6066,4202,2976
서울특별시,동작구,계,368028,34269,13274,25218,37262,30733,27538,26942,27038,28950,26222,27431,21604,16350,12368,7953,4876
서울특별시,동작구,남자,176885,17617,6616,10850,18445,15515,13892,13609,13523,13814,12515,12621,9924,7206,5562,3473,1703
서울특별시,동작구,여자,191143,16652,6658,14368,18817,15218,13646,13333,13515,15136,13707,14810,11680,9144,6806,4480,3173
서울특별시,관악구,계,464158,31047,13444,34603,68089,48241,34355,31168,30959,32789,30764,32305,26176,20505,15386,9355,4972
서울특별시,관악구,남자,231155,15953,6757,14384,34468,26787,18767,16733,16461,16357,15294,15076,11924,9337,6963,4160,1734
서울특별시,관악구,여자,233003,15094,6687,20219,33621,21454,15588,14435,14498,16432,15470,17229,14252,11168,8423,5195,3238
서울특별시,서초구,계,381688,51065,18884,19212,25899,26748,28962,34023,35616,33575,25792,25277,20712,14948,10652,6196,4127
서울특별시,서초구,남자,181261,26115,9509,8268,12105,12402,13346,15640,17048,16602,12555,11739,9460,6889,5124,2910,1549
서울특별시,서초구,여자,200427,24950,9375,10944,13794,14346,15616,18383,18568,16973,13237,13538,11252,8059,5528,3286,2578
서울특별시,강남구,계,489947,59466,25489,24925,35652,35589,36594,43545,46799,43923,33011,31773,27066,19474,13509,7823,5309
서울특별시,강남구,남자,232877,30855,13203,10763,16515,16708,16641,19638,22194,21961,16371,14715,12192,8993,6635,3656,1837
서울특별시,강남구,여자,257070,28611,12286,14162,19137,18881,19953,23907,24605,21962,16640,17058,14874,10481,6874,4167,3472
서울특별시,송파구,계,619711,73759,26028,31593,49225,49934,51233,51468,49466,51302,45642,47382,37164,24222,15707,9085,6501
서울특별시,송파구,남자,295907,37807,13167,13645,22689,23795,24477,24703,24090,24522,21911,21984,17581,11841,7612,4008,2075
서울특별시,송파구,여자,323804,35952,12861,17948,26536,26139,26756,26765,25376,26780,23731,25398,19583,12381,8095,5077,4426
서울특별시,강동구,계,440323,52591,17512,21695,33405,33278,35474,36828,34364,35392,33290,36130,28249,18502,12042,6916,4655
서울특별시,강동구,남자,214146,27550,9080,9691,15913,16377,17611,18339,17168,17148,16075,16867,13234,8893,5801,2994,1405
서울특별시,강동구,여자,226177,25041,8432,12004,17492,16901,17863,18489,17196,18244,17215,19263,15015,9609,6241,3922,3250
부산광역시,부산광역시,계,3197368,344856,122033,174868,214782,186804,205406,237917,242450,271615,262613,295464,235221,169378,116849,75986,41126
부산광역시,부산광역시,남자,1553400,176969,62339,83769,111836,95678,104258,120311,120834,131025,125808,138238,109683,77362,51861,30372,13057
부산광역시,부산광역시,여자,1643968,167887,59694,91099,102946,91126,101148,117606,121616,140590,136805,157226,125538,92016,64988,45614,28069
부산광역시,중구,계,38312,1922,937,2201,3243,2293,1979,2219,2672,3176,3225,4060,3524,2709,2063,1327,762
부산광역시,중구,남자,18522,999,461,959,1632,1236,1074,1209,1467,1596,1600,1886,1642,1139,874,501,247
부산광역시,중구,여자,19790,923,476,1242,1611,1057,905,1010,1205,1580,1625,2174,1882,1570,1189,826,515
부산광역시,서구,계,98904,8308,3259,5837,6562,4889,5239,6338,6933,7994,8149,9878,8478,6666,4998,3452,1924
부산광역시,서구,남자,47366,4302,1627,2528,3262,2532,2673,3275,3607,4080,4046,4525,3861,2963,2117,1341,627
부산광역시,서구,여자,51538,4006,1632,3309,3300,2357,2566,3063,3326,3914,4103,5353,4617,3703,2881,2111,1297
부산광역시,동구,계,82119,6069,2281,3762,5656,5085,4863,5213,5654,6791,6613,8184,7082,5790,4398,3005,1673
부산광역시,동구,남자,39769,3172,1161,1748,2850,2606,2598,2843,2981,3474,3270,3864,3181,2546,1839,1112,524
